,car_brand,car_name,year,km_driven,fuel,transmission,price,city
685,Hyundai,Hyundai VenueSX Opt Diesel,2021,"52,318kms",Diesel,Manual,₹8.79 Lakh,Hyderabad
686,Hyundai,Hyundai AuraSX Plus AMT Diesel,2023,"34,520kms",Diesel,Automatic,₹7.20 Lakh,Hyderabad
687,Tata,Tata HarrierXZ BSIV,2019,"78,500kms",Diesel,Manual,₹7.80 Lakh,Hyderabad
688,Hyundai,Hyundai VernaCRDi 1.6 AT SX Plus,2018,"1,10,941kms",Diesel,Automatic,₹8.50 Lakh,Hyderabad
689,Mahindra,Mahindra TUV 300mHAWK100 T8,2017,"98,215kms",Diesel,Manual,₹6.20 Lakh,Hyderabad
690,Maruti,Maruti Swift DzireAMT ZDI,2018,"72,344kms",Diesel,Automatic,₹6.30 Lakh,Hyderabad
691,Mahindra,Mahindra XUV300W8 Diesel BSIV,2019,"1,16,000kms",Diesel,Manual,₹8.50 Lakh,Hyderabad
692,Honda,Honda CityV MT,2020,"36,795kms",Petrol,Manual,₹9.95 Lakh,Hyderabad
693,Maruti,Maruti Vitara BrezzaZDi,2017,"86,800kms",Diesel,Manual,₹8.25 Lakh,Hyderabad
694,Honda,Honda WR-Vi-DTEC VX,2017,"86,051kms",Diesel,Manual,₹6.85 Lakh,Hyderabad
695,Maruti,Maruti Vitara BrezzaVXI,2021,"69,675kms",Petrol,Manual,₹7.20 Lakh,Hyderabad
696,Maruti,Maruti CiazAlpha Automatic BSIV,2017,"67,530kms",Petrol,Automatic,₹6.25 Lakh,Hyderabad
697,Maruti,Maruti Vitara BrezzaZXI Plus,2022,"43,600kms",Petrol,Manual,₹9.25 Lakh,Hyderabad
698,Maruti,Maruti Vitara BrezzaZXI,2021,"87,855kms",Petrol,Manual,₹8.49 Lakh,Hyderabad
699,Maruti,Maruti Vitara BrezzaVDi,2019,"98,000kms",Diesel,Manual,₹7.75 Lakh,Hyderabad
700,Nissan,Nissan SunnyXV CVT,2018,"8,20,009kms",Petrol,Automatic,₹6.99 Lakh,Hyderabad
701,Maruti,Maruti Vitara BrezzaZXI Plus,2020,"86,000kms",Petrol,Manual,₹7.75 Lakh,Hyderabad
702,Maruti,Maruti Swift DzireAMT VDI,2017,"95,644kms",Diesel,Automatic,₹6.80 Lakh,Hyderabad
703,Volkswagen,Volkswagen Vento1.5 TDI Highline AT,2016,"79,794kms",Diesel,Automatic,₹6.75 Lakh,Hyderabad
704,Hyundai,Hyundai VenueSX Diesel,2021,"47,258kms",Diesel,Manual,₹9.90 Lakh,Hyderabad
705,Maruti,Maruti CiazAlpha Automatic BSIV,2017,"67,530kms",Petrol,Automatic,₹6.25 Lakh,Hyderabad
